# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Sun, 28 Mar 2021 23:00:03 +0200
#
# IP	number of (black)lists
#
171.25.193.20	10
62.210.105.116	9
171.25.193.77	9
171.25.193.78	9
162.247.74.74	8
178.20.55.18	8
46.59.65.88	8
185.220.102.4	8
162.247.74.7	8
185.56.80.65	8
144.168.164.26	8
192.42.116.24	8
163.172.213.212	8
185.220.101.1	8
185.213.155.169	8
185.220.103.7	8
185.220.102.250	8
128.31.0.13	7
45.153.160.129	7
51.15.43.205	7
185.220.102.242	7
185.220.102.243	7
185.220.102.248	7
185.220.102.249	7
23.129.64.237	7
23.129.64.235	7
185.107.47.171	7
94.142.241.194	7
162.247.72.199	7
209.127.17.242	7
192.160.102.170	7
94.230.208.147	7
192.42.116.16	7
192.42.116.15	7
192.42.116.13	7
185.220.101.197	7
185.220.101.193	7
162.247.74.27	7
162.247.74.217	7
198.98.50.112	7
45.148.10.54	7
62.102.148.69	7
104.244.76.13	7
209.127.17.234	7
94.142.244.16	7
45.153.160.137	7
185.220.100.240	7
192.42.116.22	7
192.42.116.20	7
178.165.72.177	7
195.206.105.217	7
162.247.74.206	7
84.53.192.243	7
185.191.124.151	7
23.129.64.231	7
198.96.155.3	7
185.165.168.229	7
185.220.101.24	7
185.220.102.8	7
77.247.181.165	7
185.220.103.5	7
66.230.230.230	7
217.170.206.138	7
171.25.193.25	7
176.10.99.200	7
185.220.102.253	7
64.113.32.29	7
23.129.64.200	7
23.129.64.205	7
144.172.118.4	7
95.128.43.164	7
158.69.63.54	7
46.182.21.248	7
162.247.73.192	7
185.220.101.206	7
185.220.101.204	7
80.67.172.162	7
185.100.87.202	7
185.100.87.207	7
185.220.100.255	6
185.220.102.244	6
185.220.102.245	6
185.220.102.240	6
185.220.102.241	6
185.107.70.202	6
23.129.64.236	6
23.129.64.230	6
23.129.64.208	6
23.129.64.203	6
178.20.55.16	6
94.230.208.148	6
222.187.239.107	6
166.70.207.2	6
185.130.44.108	6
139.59.115.198	6
185.220.101.218	6
185.220.101.211	6
185.220.101.212	6
185.220.101.213	6
51.15.197.24	6
83.97.20.99	6
95.110.134.241	6
207.244.70.35	6
167.86.94.107	6
87.118.116.103	6
23.129.64.227	6
140.143.45.131	6
42.194.189.116	6
221.181.185.159	6
62.102.148.68	6
221.181.185.153	6
45.146.165.72	6
185.220.102.246	6
45.153.160.133	6
45.153.160.132	6
45.153.160.131	6
45.153.160.136	6
45.153.160.135	6
45.153.160.138	6
192.160.102.165	6
185.220.100.246	6
185.220.100.247	6
185.220.100.242	6
185.220.101.13	6
185.220.101.12	6
195.144.21.56	6
104.244.74.185	6
192.42.116.23	6
192.42.116.26	6
192.42.116.25	6
23.129.64.223	6
45.15.16.116	6
45.153.160.2	6
104.149.145.238	6
5.199.138.8	6
185.220.101.143	6
162.247.74.201	6
162.247.74.200	6
185.117.215.9	6
89.234.157.254	6
45.135.232.165	6
198.251.83.248	6
91.250.242.12	6
195.176.3.23	6
51.210.80.127	6
185.191.124.152	6
23.129.64.232	6
212.47.229.4	6
167.88.7.134	6
185.220.101.9	6
185.220.101.8	6
185.220.101.7	6
185.220.101.4	6
185.220.101.3	6
23.129.64.210	6
23.129.64.213	6
23.129.64.217	6
165.232.155.29	6
80.82.77.139	6
62.210.37.82	6
185.220.101.2	6
23.129.64.253	6
162.247.74.213	6
195.254.135.76	6
185.170.114.25	6
185.220.101.21	6
195.144.21.219	6
77.247.181.163	6
14.116.149.110	6
176.10.104.240	6
185.220.101.201	6
93.174.95.106	6
185.220.103.8	6
185.216.32.130	6
147.139.135.212	6
128.199.121.144	6
185.191.124.143	6
185.220.102.254	6
185.220.102.252	6
185.220.102.251	6
185.220.103.10	6
221.131.165.56	6
23.129.64.209	6
23.129.64.202	6
23.129.64.201	6
23.129.64.206	6
23.129.64.204	6
185.220.101.194	6
212.21.66.6	6
188.131.233.36	6
5.199.130.188	6
217.170.204.126	6
134.175.15.58	6
45.9.13.235	6
198.98.51.189	6
91.149.225.120	6
107.189.10.119	6
185.220.101.207	6
185.220.101.205	6
185.220.101.202	6
185.100.87.206	6
104.236.248.184	5
1.179.186.174	5
1.180.211.139	5
209.145.52.19	5
119.45.49.240	5
128.199.90.73	5
178.128.246.138	5
106.12.102.210	5
185.220.101.134	5
104.236.72.182	5
198.98.57.207	5
91.92.109.43	5
5.2.77.22	5
71.6.199.23	5
221.131.165.23	5
185.220.102.7	5
92.246.84.133	5
188.214.104.146	5
222.187.232.205	5
165.22.206.182	5
80.82.77.33	5
140.249.222.242	5
128.199.184.157	5
185.220.102.247	5
116.177.233.5	5
91.132.147.168	5
193.169.252.19	5
209.145.49.191	5
170.106.111.60	5
45.144.225.132	5
143.255.140.164	5
81.70.150.149	5
123.206.174.21	5
183.232.48.168	5
132.232.47.59	5
185.38.175.72	5
115.248.153.89	5
116.110.55.43	5
199.195.250.77	5
45.154.255.147	5
116.98.160.122	5
81.70.163.127	5
165.227.124.168	5
121.52.215.12	5
193.112.42.13	5
106.13.227.244	5
209.141.58.134	5
217.170.205.14	5
89.144.12.17	5
5.188.206.246	5
185.42.170.203	5
120.195.30.152	5
14.204.145.108	5
221.181.185.140	5
221.181.185.143	5
192.42.116.14	5
111.200.216.72	5
49.234.209.4	5
104.244.77.95	5
67.207.88.180	5
129.144.183.81	5
192.42.116.17	5
192.42.116.18	5
192.42.116.19	5
222.187.239.109	5
217.74.160.105	5
198.144.120.234	5
51.79.143.68	5
91.149.225.131	5
209.141.56.59	5
81.68.142.128	5
103.43.185.166	5
209.141.43.56	5
185.220.101.215	5
185.220.101.216	5
161.53.232.83	5
74.82.47.194	5
180.101.248.148	5
209.141.45.189	5
36.89.87.106	5
212.64.91.71	5
185.220.101.137	5
185.220.101.139	5
89.236.112.100	5
118.25.187.65	5
83.97.20.98	5
185.101.35.79	5
115.159.59.196	5
91.203.146.126	5
107.189.30.100	5
222.185.231.246	5
162.247.74.216	5
68.183.4.74	5
152.136.137.62	5
177.73.2.57	5
189.7.217.23	5
84.3.59.133	5
190.117.113.32	5
159.65.110.115	5
104.236.0.114	5
185.233.100.23	5
62.234.118.5	5
195.176.3.19	5
18.18.248.17	5
14.17.114.65	5
185.67.82.114	5
178.17.174.14	5
61.133.232.250	5
23.129.64.220	5
23.129.64.222	5
23.129.64.224	5
23.129.64.228	5
161.35.204.228	5
81.71.120.65	5
155.235.254.118	5
189.90.255.173	5
95.0.233.5	5
128.199.23.52	5
185.246.130.20	5
120.48.0.247	5
79.143.27.40	5
111.230.196.20	5
198.199.94.78	5
89.248.167.131	5
221.181.185.151	5
199.195.254.81	5
179.43.167.228	5
45.236.128.120	5
193.123.228.215	5
45.153.160.130	5
45.153.160.134	5
45.153.160.139	5
192.160.102.166	5
182.61.32.193	5
185.220.100.243	5
185.220.100.241	5
185.220.100.248	5
185.220.100.249	5
106.54.83.253	5
185.220.101.17	5
185.220.101.16	5
185.220.101.15	5
185.220.101.11	5
185.220.101.18	5
185.165.190.34	5
82.221.131.71	5
81.161.63.103	5
45.153.160.140	5
95.87.101.15	5
185.220.101.195	5
192.42.116.27	5
192.42.116.28	5
23.129.64.226	5
119.28.140.220	5
129.226.37.131	5
175.24.111.172	5
49.229.69.4	5
128.199.145.5	5
118.89.157.234	5
185.220.101.14	5
82.223.14.245	5
92.50.249.166	5
186.226.37.45	5
49.232.112.204	5
104.236.43.154	5
167.71.96.148	5
198.98.52.143	5
106.52.93.106	5
212.64.34.108	5
159.65.137.122	5
185.220.101.129	5
216.158.239.217	5
51.81.86.69	5
62.57.185.15	5
137.74.169.241	5
162.247.74.202	5
162.247.74.204	5
159.89.236.71	5
162.62.174.216	5
191.31.104.17	5
81.68.253.19	5
62.162.111.153	5
199.195.251.84	5
221.181.185.198	5
150.158.192.143	5
159.65.245.182	5
1.214.220.227	5
211.219.18.186	5
221.181.185.19	5
111.229.212.104	5
138.197.195.169	5
195.176.3.20	5
195.176.3.24	5
111.231.77.115	5
82.221.131.5	5
106.75.52.43	5
23.239.22.248	5
94.102.49.190	5
94.102.49.193	5
216.218.134.12	5
185.191.124.153	5
185.191.124.150	5
23.129.64.233	5
103.106.28.102	5
192.3.194.242	5
49.234.214.156	5
165.227.166.247	5
113.98.193.58	5
190.155.106.74	5
42.192.76.43	5
185.220.101.6	5
185.220.101.5	5
128.199.87.28	5
23.129.64.212	5
23.129.64.216	5
18.27.197.252	5
81.70.86.218	5
64.225.36.142	5
51.158.171.35	5
81.17.16.111	5
161.35.11.118	5
130.149.80.199	5
119.28.27.176	5
185.247.224.14	5
209.141.55.26	5
177.155.248.68	5
138.197.142.81	5
209.141.54.195	5
209.141.54.197	5
68.183.221.177	5
157.230.245.91	5
116.68.160.114	5
103.106.20.212	5
167.71.91.169	5
122.54.199.123	5
81.161.63.253	5
185.130.44.124	5
185.220.101.22	5
87.241.1.186	5
209.141.41.103	5
111.204.176.209	5
185.220.102.6	5
119.29.3.45	5
185.143.223.136	5
